Distance_m,Force_N
0.03650000,0.01402097
0.03660000,0.01387431
0.03670000,0.01372955
0.03680000,0.01358665
0.03690000,0.01344559
0.03700000,0.01330634
0.03710000,0.01316887
0.03720000,0.01303316
0.03730000,0.01289918
0.03740000,0.01276689
0.03750000,0.01263629
0.03760000,0.01250733
0.03770000,0.01238000
0.03780000,0.01225428
0.03790000,0.01213013
0.03800000,0.01200754
0.03810000,0.01188648
0.03820000,0.01176693
0.03830000,0.01164886
0.03840000,0.01153227
0.03850000,0.01141711
0.03860000,0.01130338
0.03870000,0.01119104
0.03880000,0.01108009
0.03890000,0.01097050
0.03900000,0.01086225
0.03910000,0.01075532
0.03920000,0.01064969
0.03930000,0.01054535
0.03940000,0.01044227
0.03950000,0.01034044
0.03960000,0.01023983
0.03970000,0.01014044
0.03980000,0.01004224
0.03990000,0.00994522
0.04000000,0.00984936
0.04010000,0.00975464
0.04020000,0.00966105
0.04030000,0.00956858
0.04040000,0.00947719
0.04050000,0.00938689
0.04060000,0.00929765
0.04070000,0.00920947
0.04080000,0.00912231
0.04090000,0.00903618
0.04100000,0.00895106
0.04110000,0.00886693
0.04120000,0.00878378
0.04130000,0.00870159
0.04140000,0.00862036
0.04150000,0.00854006
0.04160000,0.00846070
0.04170000,0.00838224
0.04180000,0.00830469
0.04190000,0.00822803
0.04200000,0.00815224
0.04210000,0.00807731
0.04220000,0.00800324
0.04230000,0.00793002
0.04240000,0.00785762
0.04250000,0.00778604
0.04260000,0.00771527
0.04270000,0.00764529
0.04280000,0.00757611
0.04290000,0.00750769
0.04300000,0.00744005
0.04310000,0.00737316
0.04320000,0.00730701
0.04330000,0.00724160
0.04340000,0.00717691
0.04350000,0.00711295
0.04360000,0.00704968
0.04370000,0.00698712
0.04380000,0.00692524
0.04390000,0.00686405
0.04400000,0.00680352
0.04410000,0.00674366
0.04420000,0.00668445
0.04430000,0.00662588
0.04440000,0.00656795
0.04450000,0.00651064
0.04460000,0.00645396
0.04470000,0.00639789
0.04480000,0.00634242
0.04490000,0.00628755
0.04500000,0.00623327
0.04510000,0.00617957
0.04520000,0.00612644
0.04530000,0.00607388
0.04540000,0.00602188
0.04550000,0.00597043
0.04560000,0.00591953
0.04570000,0.00586917
0.04580000,0.00581933
0.04590000,0.00577002
0.04600000,0.00572123
0.04610000,0.00567295
0.04620000,0.00562518
0.04630000,0.00557791
0.04640000,0.00553112
0.04650000,0.00548483
0.04660000,0.00543902
0.04670000,0.00539368
0.04680000,0.00534881
0.04690000,0.00530440
0.04700000,0.00526045
0.04710000,0.00521695
0.04720000,0.00517390
0.04730000,0.00513129
0.04740000,0.00508912
0.04750000,0.00504737
0.04760000,0.00500605
0.04770000,0.00496515
0.04780000,0.00492467
0.04790000,0.00488459
0.04800000,0.00484492
0.04810000,0.00480565
0.04820000,0.00476678
0.04830000,0.00472829
0.04840000,0.00469019
0.04850000,0.00465248
0.04860000,0.00461513
0.04870000,0.00457817
0.04880000,0.00454156
0.04890000,0.00450533
0.04900000,0.00446945
0.04910000,0.00443392
0.04920000,0.00439875
0.04930000,0.00436392
0.04940000,0.00432943
0.04950000,0.00429529
0.04960000,0.00426147
0.04970000,0.00422799
0.04980000,0.00419484
0.04990000,0.00416201
0.05000000,0.00412949
